"Job_Number","JDE_Business_Unit"
"110_2NDARY","11000"
"110_MAINTENC","11000"
"110_PRIMARY","11000"
"110_SALES","11000"
"110_SUPPORT","11000"
"120","12000"
"140","14000"
"154","15400"
"170","17000"
"710","71000"
"211","21117"
"231","23117"
"241","24117"
"311","31113"
"32111","32111"
"32113","32113"
"33111","33111"
"33113","33113"
"34111","34111"
"34113","34113"
"361","36111"
"362","36211"
"372","37213"
"381","38111"
"382","38211"
"410","41001"
"415","41505"
"900","90000"
"921","92100"
"921BERRY","92100"
"921CAP","92100"
"921RWC","92100"
"921SSF","92100"
